space_order,time_tile_size,wf_x_width,wf_y_width,time,x_size,y_size,z_size,repeat_num,elapsed_time,oi,gflopss,gpointss
4,4,64,64,512,256,256,256,1,2.37,3.34,101.69,3.64
4,4,64,64,512,256,256,256,2,2.37,3.34,101.69,3.64
4,4,64,128,256,256,256,256,1,1.12,3.33,107.8,3.85
4,4,64,128,256,256,256,256,2,1.12,3.33,107.8,3.85
4,4,64,128,256,512,256,256,1,2.23,3.36,108.28,3.87
4,4,64,128,256,512,256,256,2,2.23,3.36,108.28,3.87
4,4,64,128,256,256,512,256,1,2.21,3.36,109.26,3.91
4,4,64,128,256,256,512,256,2,2.44,3.36,98.96,3.54
4,4,64,128,256,512,512,512,1,9.84,3.41,98.16,3.51
4,4,64,128,256,512,512,512,2,9.84,3.41,98.16,3.51
4,4,64,128,512,256,256,256,1,2.25,3.34,107.11,3.83
4,4,64,128,512,256,256,256,2,2.23,3.34,108.07,3.86
4,4,128,64,256,256,256,256,1,1.13,3.33,106.84,3.82
4,4,128,64,256,256,256,256,2,1.13,3.33,106.84,3.82
4,4,128,64,256,512,256,256,1,2.27,3.36,106.37,3.8
4,4,128,64,256,512,256,256,2,2.27,3.36,106.37,3.8
4,4,128,64,256,256,512,256,1,2.25,3.36,107.32,3.84
4,4,128,64,256,256,512,256,2,2.27,3.36,106.37,3.8
4,4,128,64,256,512,512,512,1,10.29,3.41,93.87,3.36
4,4,128,64,256,512,512,512,2,10.31,3.41,93.68,3.35
4,4,128,64,512,256,256,256,1,2.29,3.34,105.24,3.76
4,4,128,64,512,256,256,256,2,2.26,3.34,106.64,3.81
4,4,128,128,256,256,256,256,1,1.16,3.33,104.08,3.72
4,4,128,128,256,256,256,256,2,1.33,3.33,90.78,3.25
4,4,128,128,256,512,256,256,1,2.32,3.36,104.08,3.72
4,4,128,128,256,512,256,256,2,2.32,3.36,104.08,3.72
4,4,128,128,256,256,512,256,1,2.31,3.36,104.53,3.74
4,4,128,128,256,256,512,256,2,2.3,3.36,104.99,3.75
4,4,128,128,256,512,512,512,1,10.13,3.41,95.35,3.41
4,4,128,128,256,512,512,512,2,10.1,3.41,95.63,3.42
4,4,128,128,512,256,256,256,1,2.31,3.34,104.33,3.73
4,4,128,128,512,256,256,256,2,2.31,3.34,104.33,3.73
4,8,32,32,256,256,256,256,1,1.38,3.33,87.49,3.13
